MlbId,CareerStartYear
110029,1991
110067,1991
110129,1990
110134,1991
110135,1991
110179,1994
110184,1988
110189,1988
110209,1988
110230,1993
110236,1990
110293,1988
110351,1988
110359,1990
110383,1992
110385,1988
110403,1994
110427,1988
110432,1989
110450,1991
110503,1990
110682,1992
110683,1990
110788,1994
110816,1990
110840,1995
110853,1993
110859,1991
110870,1990
110891,1990
110987,1988
111072,1990
111145,1991
111188,1986
111213,1994
111214,1990
111228,1988
111232,1988
111241,1988
111244,1990
111262,1991
111492,1988
111496,1992
111531,1992
111548,1994
111554,1986
111684,1989
111692,1988
111742,1990
111838,1991
111851,1994
111867,1992
111904,1991
112020,1994
112030,1991
112031,1988
112077,1990
112087,1995
112106,1990
112107,1988
112113,1988
112116,1995
112128,1991
112131,1992
112155,1992
112223,1990
112270,1991
112297,1991
112316,1990
112381,1988
112388,1984
112413,1992
112461,1988
112482,1994
112496,1993
112526,1994
112559,1988
112680,1988
112690,1989
112736,1992
112775,1992
112881,1995
112897,1993
112901,1994
112903,1995
112906,1991
112937,1990
112940,1994
113028,1992
113211,1992
113232,1990
113234,1994
113240,1995
113296,1995
113330,1992
113358,1991
113488,1993
113646,1994
113660,1990
113679,1993
113702,1990
113744,1988
113784,1990
113793,1989
113819,1991
113833,1990
113845,1994
113884,1989
113889,1995
113898,1994
113915,1991
113941,1992
113946,1990
113961,1992
114031,1993
114032,1988
114135,1988
114208,1988
114260,1991
114342,1994
114353,1990
114354,1992
114374,1984
114517,1993
114581,1988
114596,1994
114739,1992
114768,1991
114789,1990
114849,1987
114909,1992
114924,1991
114928,1992
114932,1988
114935,1988
114971,1988
115017,1990
115056,1995
115094,1993
115103,1993
115132,1994
115135,1988
115169,1988
115174,1988
115183,1988
115210,1991
115216,1991
115223,1994
115224,1993
115229,1994
115263,1988
115370,1991
115391,1988
115394,1993
115399,1990
115436,1988
115438,1994
115475,1992
115529,1988
115586,1997
115608,1991
115629,1991
115649,1991
115727,1993
115732,1995
115803,1994
115812,1994
115817,1996
115825,1988
115832,1988
115842,1991
115902,1992
115915,1992
116000,1990
116034,1991
116058,1990
116075,1991
116114,1994
116248,1988
116338,1993
116380,1992
116414,1992
116423,1992
116496,1991
116530,1992
116539,1992
116569,1993
