mlbId,Year,ServiceYears,ServiceDays
571476,2015,0,2
592570,2015,0,3
571665,2015,0,3
542364,2015,0,4
592835,2015,0,5
593582,2015,0,6
543542,2015,0,8
545346,2015,0,8
593871,2015,0,11
570632,2015,0,112
598271,2015,0,12
518490,2015,0,12
571761,2015,0,123
553872,2015,0,13
605288,2015,0,13
596146,2015,0,13
605347,2015,0,13
605439,2015,0,13
592680,2015,0,13
455119,2015,0,133
542979,2015,0,14
502023,2015,0,14
621281,2015,0,14
605317,2015,0,15
574831,2015,0,166
593525,2015,0,18
594555,2015,0,19
623143,2015,0,19
607776,2015,0,19
543038,2015,0,21
572804,2015,0,21
592274,2015,0,21
570717,2015,0,21
543351,2015,0,21
591720,2015,0,22
596142,2015,0,23
448855,2015,0,24
608596,2015,0,24
608641,2015,0,25
605164,2015,0,26
571467,2015,0,27
543901,2015,0,27
593647,2015,0,27
598284,2015,0,27
502213,2015,0,27
605218,2015,0,28
572669,2015,0,28
519071,2015,0,29
596331,2015,0,29
572403,2015,0,29
543788,2015,0,29
519421,2015,0,29
458720,2015,0,29
605894,2015,0,3
592398,2015,0,3
594985,2015,0,3
542883,2015,0,31
516414,2015,0,31
543803,2015,0,31
550298,2015,0,32
608369,2015,0,32
599998,2015,0,32
612272,2015,0,33
572233,2015,0,33
502570,2015,0,33
518397,2015,0,34
602083,2015,0,34
542908,2015,0,34
542942,2015,0,34
541608,2015,0,34
605200,2015,0,34
553869,2015,0,34
623430,2015,0,34
571912,2015,0,34
493343,2015,0,34
572021,2015,0,34
607968,2015,0,34
543964,2015,0,34
607257,2015,0,34
595235,2015,0,34
592181,2015,0,35
593423,2015,0,35
594988,2015,0,35
594742,2015,0,36
611093,2015,0,36
543105,2015,0,36
645848,2015,0,37
605477,2015,0,37
571681,2015,0,37
605226,2015,0,38
593140,2015,0,38
543308,2015,0,38
553988,2015,0,38
572308,2015,0,38
543261,2015,0,38
592774,2015,0,38
580792,2015,0,39
608167,2015,0,4
594815,2015,0,4
592426,2015,0,4
519263,2015,0,4
543204,2015,0,4
542888,2015,0,41
592166,2015,0,41
571584,2015,0,42
606299,2015,0,42
594835,2015,0,43
608701,2015,0,43
595001,2015,0,43
598287,2015,0,44
595191,2015,0,45
607208,2015,0,45
648737,2015,0,46
572182,2015,0,46
534606,2015,0,46
595918,2015,0,47
572863,2015,0,47
608671,2015,0,47
543056,2015,0,48
592230,2015,0,48
543118,2015,0,48
514669,2015,0,48
605338,2015,0,49
542642,2015,0,49
542923,2015,0,5
446225,2015,0,5
489305,2015,0,5
593495,2015,0,51
594694,2015,0,51
643327,2015,0,51
605323,2015,0,52
519168,2015,0,52
542436,2015,0,52
595885,2015,0,53
571437,2015,0,54
515052,2015,0,54
543424,2015,0,54
596144,2015,0,55
570615,2015,0,55
594762,2015,0,55
607067,2015,0,55
519411,2015,0,56
594857,2015,0,57
543484,2015,0,58
607457,2015,0,59
621397,2015,0,59
501563,2015,0,59
502051,2015,0,59
542583,2015,0,6
571918,2015,0,6
605131,2015,0,6
516714,2015,0,61
504083,2015,0,61
592705,2015,0,61
622663,2015,0,61
608648,2015,0,62
596064,2015,0,62
572128,2015,0,62
595005,2015,0,62
592351,2015,0,62
502409,2015,0,63
623395,2015,0,63
608336,2015,0,63
502523,2015,0,63
572204,2015,0,63
612434,2015,0,63
605509,2015,0,63
571787,2015,0,64
519425,2015,0,65
592346,2015,0,66
605253,2015,0,66
606466,2015,0,66
592593,2015,0,66
571510,2015,0,67
502676,2015,0,67
608672,2015,0,67
621408,2015,0,67
572102,2015,0,67
607374,2015,0,68
592869,2015,0,68
457449,2015,0,68
571710,2015,0,69
553970,2015,0,69
605156,2015,0,7
543045,2015,0,7
572309,2015,0,7
506747,2015,0,7
571479,2015,0,72
514981,2015,0,72
544836,2015,0,72
624424,2015,0,73
504186,2015,0,73
592244,2015,0,73
594840,2015,0,74
527043,2015,0,74
608070,2014,0,74
534627,2015,0,75
592533,2015,0,75
592815,2015,0,75
571553,2015,0,76
611177,2015,0,76
605400,2015,0,76
572039,2015,0,76
592341,2015,0,78
570267,2015,0,79
592239,2015,0,8
572788,2015,0,81
625329,2015,0,84
593643,2015,0,86
607309,2015,0,86
594987,2015,0,86
656941,2015,0,86
592826,2015,0,86
546276,2015,0,86
607074,2015,0,87
542881,2015,0,87
592647,2015,0,88
543768,2015,0,88
595879,2015,0,89
605304,2015,0,89
543557,2015,0,89
594951,2015,0,9
571439,2015,0,91
572038,2015,0,91
452061,2015,0,91
605333,2015,0,91
605452,2015,0,94
548337,2015,0,94
592612,2015,0,94
542882,2015,0,95
544365,2015,0,95
593934,2015,0,95
594807,2015,0,96
519169,2015,0,96
542513,2015,0,96
519301,2015,0,97
570489,2015,0,98
543094,2015,0,98
571927,2015,0,99
543594,2015,0,1
605541,2015,0,1
500610,2015,0,101
476192,2015,0,101
592677,2015,0,101
593576,2015,0,104
545358,2015,0,105
592621,2015,0,105
594736,2015,0,106
605388,2015,0,106
571970,2015,0,106
607359,2015,0,106
571893,2015,0,106
605232,2015,0,107
605538,2015,0,108
572193,2015,0,109
598264,2015,0,11
594824,2015,0,11
457754,2015,0,111
621439,2015,0,113
596019,2015,0,113
594986,2015,0,113
641627,2015,0,114
592879,2015,0,114
628329,2015,0,115
542609,2015,0,115
592863,2015,0,116
518771,2015,0,117
543380,2015,0,118
570482,2015,0,118
621043,2015,0,119
599096,2015,0,119
519381,2015,0,121
592527,2015,0,122
621209,2015,0,122
596057,2015,0,122
621962,2015,0,123
451089,2015,0,126
605135,2015,0,127
502087,2015,0,128
571656,2015,0,128
449170,2015,0,129
571951,2015,0,129
594792,2015,0,13
593958,2015,0,13
489197,2015,0,13
500887,2015,0,131
517369,2015,0,131
502285,2015,0,132
592222,2015,0,133
519333,2015,0,134
449181,2015,0,137
621121,2015,0,139
621035,2015,0,139
542669,2015,0,141
605151,2015,0,142
518526,2015,0,143
596143,2015,0,143
554431,2015,0,144
607385,2015,0,145
544759,2015,0,146
608700,2015,0,147
500724,2015,0,147
501255,2015,0,147
592390,2015,0,148
554234,2015,0,149
